               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045451,            0.065375,            0.016456,             0.66891,             0.60378,             0.68129,             0.44879,            0.041352,            0.037884,              0.0106,              0.0937,              0.0007,              0.0007
                   1,            0.043832,            0.061738,            0.017218,              0.7442,             0.62723,             0.72511,             0.48499,            0.040449,            0.036732,           0.0090761,            0.086485,           0.0014851,           0.0014851
                   2,            0.044759,            0.070138,            0.015995,             0.79848,             0.64663,             0.74928,             0.48603,            0.040202,            0.035837,           0.0080161,            0.079254,           0.0022545,           0.0022545
                   3,             0.04403,            0.062048,            0.013612,             0.80057,             0.65136,             0.76155,             0.50313,            0.040281,             0.03557,           0.0072811,            0.072008,           0.0030079,           0.0030079
                   4,            0.044548,            0.060822,             0.01325,             0.77408,             0.69465,             0.77669,             0.51266,            0.040028,            0.034834,           0.0066144,            0.064746,           0.0037456,           0.0037456
                   5,            0.045162,             0.05617,            0.013661,              0.7853,             0.70584,             0.79276,              0.4965,            0.042204,            0.033196,           0.0060455,            0.057467,           0.0044673,           0.0044673
                   6,            0.045326,            0.050438,            0.013305,             0.78086,             0.71768,             0.78543,             0.47219,            0.042962,            0.032937,            0.005785,            0.050173,           0.0051733,           0.0051733
                   7,            0.047694,            0.060086,            0.010289,              0.7869,               0.715,             0.79643,             0.49128,            0.042902,            0.032438,           0.0052465,            0.042863,           0.0058634,           0.0058634
                   8,            0.047802,            0.058328,            0.012391,             0.75404,              0.7336,             0.80046,              0.4769,            0.045345,            0.032504,           0.0049924,            0.035538,           0.0065377,           0.0065377
                   9,            0.046291,            0.054857,            0.010053,             0.72216,             0.77952,             0.79108,             0.50402,            0.043786,            0.031794,           0.0048794,            0.028196,           0.0071961,           0.0071961
                  10,            0.048312,            0.062232,            0.010194,             0.70879,             0.78533,             0.80025,             0.48562,            0.046723,            0.030684,           0.0047585,            0.020839,           0.0078387,           0.0078387
                  11,             0.04774,            0.055147,           0.0098806,             0.80045,             0.74433,             0.80129,             0.49294,            0.044796,            0.030204,           0.0047576,            0.013465,           0.0084655,           0.0084655
                  12,             0.04731,            0.049624,            0.011762,             0.81917,              0.7532,              0.8113,             0.50726,            0.045181,            0.029386,            0.004494,            0.008812,            0.008812,            0.008812
                  13,            0.046967,            0.055279,            0.011126,              0.8185,             0.76245,             0.81163,             0.51412,            0.044614,             0.02923,           0.0046136,            0.008812,            0.008812,            0.008812
                  14,            0.045083,            0.048452,           0.0098387,             0.83783,             0.75331,             0.82047,             0.52898,            0.043204,            0.028907,           0.0045263,            0.008713,            0.008713,            0.008713
                  15,             0.04361,            0.051664,           0.0093978,             0.80449,             0.78351,             0.83901,             0.54549,            0.043028,            0.028996,           0.0043994,            0.008614,            0.008614,            0.008614
                  16,            0.046765,            0.048367,           0.0096187,             0.83808,             0.75362,             0.84089,             0.52591,            0.041034,            0.029108,           0.0045105,            0.008515,            0.008515,            0.008515
                  17,            0.043118,            0.048666,           0.0099154,             0.80266,             0.81116,             0.85118,             0.55526,            0.040369,            0.029009,           0.0042987,            0.008416,            0.008416,            0.008416
                  18,            0.042674,            0.048929,           0.0095076,             0.79274,             0.82273,             0.85697,             0.54677,            0.042065,            0.028399,           0.0041019,            0.008317,            0.008317,            0.008317
                  19,            0.042702,             0.04915,            0.010455,             0.82293,              0.8038,             0.86512,             0.56359,            0.041926,            0.027982,           0.0038778,            0.008218,            0.008218,            0.008218
                  20,            0.043775,            0.047002,           0.0097089,             0.81692,             0.79034,             0.86466,             0.53051,            0.041973,            0.027925,           0.0038863,            0.008119,            0.008119,            0.008119
                  21,            0.044239,            0.045444,           0.0086621,             0.78342,             0.83019,             0.86644,             0.55156,            0.040831,            0.027847,           0.0037829,             0.00802,             0.00802,             0.00802
                  22,              0.0437,            0.049576,            0.009155,             0.78243,             0.83797,             0.86694,             0.54988,            0.041303,            0.027252,           0.0037309,            0.007921,            0.007921,            0.007921
                  23,             0.04283,            0.045538,           0.0080311,             0.81888,             0.83455,             0.88452,             0.57628,            0.040249,            0.026917,             0.00384,            0.007822,            0.007822,            0.007822
                  24,             0.03952,            0.048568,           0.0093374,             0.79392,             0.85129,             0.88917,             0.58976,            0.038333,            0.026506,           0.0035903,            0.007723,            0.007723,            0.007723
                  25,            0.041988,            0.040492,           0.0088992,             0.82557,             0.83852,             0.88647,             0.59296,            0.038298,            0.026358,           0.0034058,            0.007624,            0.007624,            0.007624
                  26,            0.040966,            0.049814,           0.0078127,             0.84514,             0.80598,             0.87931,             0.56296,            0.038673,             0.02664,           0.0035107,            0.007525,            0.007525,            0.007525
                  27,            0.041778,            0.052529,           0.0073478,              0.8365,             0.82131,             0.88178,               0.579,            0.037213,            0.026555,           0.0034229,            0.007426,            0.007426,            0.007426
                  28,            0.041918,            0.049863,            0.009016,             0.82873,             0.80277,             0.87847,             0.59261,            0.038018,            0.025907,           0.0033401,            0.007327,            0.007327,            0.007327
                  29,            0.040751,            0.045717,           0.0080093,             0.84644,             0.82124,             0.89557,             0.59715,             0.03717,            0.025656,           0.0033847,            0.007228,            0.007228,            0.007228
                  30,            0.041971,            0.045127,           0.0070571,             0.85752,             0.82554,             0.89478,             0.57989,            0.038328,            0.025223,           0.0033218,            0.007129,            0.007129,            0.007129
                  31,            0.040756,            0.050445,           0.0073588,              0.8544,              0.8383,             0.90192,             0.61666,            0.035223,            0.024738,           0.0032467,             0.00703,             0.00703,             0.00703
                  32,            0.040059,            0.044285,           0.0084008,             0.81783,             0.85005,             0.90611,             0.61117,            0.035961,            0.024856,           0.0032668,            0.006931,            0.006931,            0.006931
                  33,            0.040344,            0.048493,           0.0073291,             0.84367,             0.83851,              0.9055,             0.59073,            0.036619,             0.02482,           0.0031856,            0.006832,            0.006832,            0.006832
                  34,             0.04053,            0.047207,           0.0073664,             0.86718,             0.84419,             0.90558,              0.6162,            0.035876,            0.024405,           0.0031821,            0.006733,            0.006733,            0.006733
                  35,            0.040162,             0.04699,           0.0070989,             0.89809,             0.83868,             0.91322,             0.62913,            0.035723,            0.024012,           0.0031462,            0.006634,            0.006634,            0.006634
                  36,            0.040888,             0.04559,           0.0072119,             0.91299,             0.82902,              0.9105,             0.61686,            0.035482,             0.02403,           0.0031141,            0.006535,            0.006535,            0.006535
                  37,            0.039464,            0.045274,           0.0072393,             0.89987,             0.84048,             0.91196,             0.62959,            0.035221,            0.023743,           0.0031227,            0.006436,            0.006436,            0.006436
                  38,            0.039379,            0.045012,           0.0065891,             0.90568,             0.83165,             0.90888,             0.61824,            0.035448,            0.024002,           0.0031766,            0.006337,            0.006337,            0.006337
                  39,            0.040179,            0.044447,            0.006422,             0.89133,             0.83455,             0.90996,             0.61941,             0.03466,            0.024271,           0.0031044,            0.006238,            0.006238,            0.006238
                  40,            0.038011,            0.043645,           0.0073941,             0.86897,             0.85212,             0.90968,             0.61449,            0.035704,            0.024387,           0.0030314,            0.006139,            0.006139,            0.006139
                  41,            0.039336,             0.04191,           0.0072631,             0.85383,             0.87119,             0.90742,             0.63428,            0.034513,            0.023627,           0.0029131,             0.00604,             0.00604,             0.00604
                  42,            0.039518,            0.043214,            0.006652,             0.86589,             0.87754,             0.92041,             0.63153,            0.034106,            0.023505,           0.0029359,            0.005941,            0.005941,            0.005941
                  43,             0.03676,            0.043667,           0.0064757,             0.85193,             0.88479,             0.91582,             0.63985,            0.033304,            0.023411,           0.0029252,            0.005842,            0.005842,            0.005842
                  44,            0.038517,            0.043871,           0.0071198,             0.86769,             0.86191,             0.92703,              0.6106,            0.035032,             0.02349,           0.0029118,            0.005743,            0.005743,            0.005743
                  45,            0.038547,            0.036802,           0.0069678,             0.85273,             0.88124,             0.92276,             0.65029,            0.033387,            0.023265,            0.002993,            0.005644,            0.005644,            0.005644
                  46,            0.037312,            0.041378,           0.0060526,             0.85309,             0.86797,             0.93237,             0.66512,            0.033001,            0.022709,           0.0029067,            0.005545,            0.005545,            0.005545
                  47,            0.035633,            0.040449,           0.0063923,             0.82153,               0.891,             0.92374,             0.65069,            0.033895,            0.022727,           0.0028623,            0.005446,            0.005446,            0.005446
                  48,            0.037188,            0.038525,           0.0059982,             0.87054,             0.88282,             0.92124,             0.63885,            0.032566,            0.022496,           0.0028013,            0.005347,            0.005347,            0.005347
                  49,            0.035525,             0.03917,           0.0059812,             0.90215,             0.86534,             0.91767,             0.64092,            0.032646,            0.022393,           0.0027135,            0.005248,            0.005248,            0.005248
                  50,            0.036173,            0.037487,           0.0065259,             0.92389,             0.86142,             0.91859,             0.64486,            0.032267,            0.022261,           0.0026619,            0.005149,            0.005149,            0.005149
                  51,            0.037394,            0.043476,           0.0066926,             0.92133,             0.86779,             0.92402,             0.65019,            0.032708,            0.022599,           0.0026103,             0.00505,             0.00505,             0.00505
                  52,            0.036992,             0.04087,           0.0058044,             0.91308,             0.87007,             0.92812,             0.66774,            0.031531,            0.021881,            0.002573,            0.004951,            0.004951,            0.004951
                  53,            0.035118,            0.037576,           0.0063777,             0.90208,             0.86463,             0.92417,             0.67637,            0.031195,            0.021535,           0.0025626,            0.004852,            0.004852,            0.004852
                  54,            0.036489,            0.036667,           0.0072851,             0.89916,             0.87235,             0.92696,             0.69177,            0.030651,            0.021604,            0.002539,            0.004753,            0.004753,            0.004753
                  55,            0.036193,            0.039473,           0.0063735,             0.90255,             0.86946,             0.93351,             0.69164,            0.030159,            0.021593,           0.0024945,            0.004654,            0.004654,            0.004654
                  56,            0.035099,            0.039697,           0.0061747,             0.89969,             0.87214,             0.93017,             0.67192,            0.030424,            0.021692,            0.002493,            0.004555,            0.004555,            0.004555
                  57,            0.034817,            0.035417,           0.0066633,             0.89159,             0.86784,             0.93112,             0.68822,            0.030173,            0.021669,           0.0024978,            0.004456,            0.004456,            0.004456
                  58,            0.034584,            0.043242,           0.0065105,             0.90206,             0.87288,             0.93259,              0.6922,            0.030335,            0.021725,           0.0024642,            0.004357,            0.004357,            0.004357
                  59,            0.035348,            0.036545,            0.005346,             0.88018,             0.90903,             0.94272,             0.65829,            0.032419,             0.02171,            0.002412,            0.004258,            0.004258,            0.004258
                  60,            0.035624,            0.037785,           0.0061042,             0.91735,              0.8704,             0.94245,             0.69208,            0.030491,            0.021303,           0.0023508,            0.004159,            0.004159,            0.004159
                  61,            0.034689,             0.04108,           0.0057763,             0.91069,             0.88365,             0.94722,             0.69088,            0.030796,            0.021245,            0.002312,             0.00406,             0.00406,             0.00406
                  62,            0.035559,            0.037917,           0.0065728,             0.91911,               0.886,             0.94939,             0.70617,            0.029958,            0.020987,           0.0022964,            0.003961,            0.003961,            0.003961
                  63,            0.034614,            0.039924,           0.0051653,             0.92896,              0.8821,             0.95132,             0.68748,            0.030199,            0.020984,           0.0022913,            0.003862,            0.003862,            0.003862
                  64,            0.035069,            0.038518,           0.0051937,             0.91492,               0.883,             0.94884,             0.69384,            0.029084,            0.020589,           0.0022828,            0.003763,            0.003763,            0.003763
                  65,            0.033587,            0.040653,           0.0055535,             0.91086,             0.88778,             0.94895,             0.70836,            0.028837,             0.02054,            0.002275,            0.003664,            0.003664,            0.003664
                  66,            0.031632,            0.035232,           0.0053895,             0.92509,             0.88878,             0.94747,             0.70501,            0.028948,            0.020651,           0.0022596,            0.003565,            0.003565,            0.003565
                  67,             0.03298,            0.040392,           0.0053323,             0.92069,             0.88721,             0.95049,             0.69887,            0.029072,            0.020667,           0.0022637,            0.003466,            0.003466,            0.003466
                  68,             0.03363,            0.037699,             0.00555,             0.92112,             0.90102,             0.95321,             0.71984,            0.028533,            0.020422,            0.002252,            0.003367,            0.003367,            0.003367
                  69,            0.033004,            0.041557,           0.0058265,             0.92271,             0.90072,             0.95391,             0.71674,             0.02816,            0.020358,           0.0022221,            0.003268,            0.003268,            0.003268
                  70,            0.033662,            0.046011,           0.0052817,             0.90705,             0.90583,             0.95393,             0.71302,            0.029065,            0.020582,           0.0021911,            0.003169,            0.003169,            0.003169
                  71,            0.032682,            0.039713,           0.0050037,             0.91535,             0.90381,             0.95692,             0.72752,             0.02775,            0.020344,           0.0021962,             0.00307,             0.00307,             0.00307
                  72,            0.032474,             0.03977,           0.0055064,             0.92376,             0.89343,             0.95765,             0.73454,             0.02692,             0.01995,           0.0021905,            0.002971,            0.002971,            0.002971
                  73,            0.031101,            0.038841,           0.0053879,             0.92823,             0.88962,             0.95851,             0.73317,            0.027151,            0.019818,           0.0021566,            0.002872,            0.002872,            0.002872
                  74,            0.032928,            0.039051,           0.0052591,             0.93133,             0.89326,             0.95677,              0.7373,            0.026777,            0.019663,           0.0021545,            0.002773,            0.002773,            0.002773
                  75,            0.033058,            0.041914,           0.0053588,             0.93307,             0.89998,             0.95835,             0.74201,             0.02643,            0.019489,           0.0021419,            0.002674,            0.002674,            0.002674
                  76,             0.03252,            0.034558,            0.004745,             0.93249,             0.89784,             0.95622,             0.74257,            0.026409,            0.019362,           0.0021135,            0.002575,            0.002575,            0.002575
                  77,            0.031187,            0.035602,           0.0046146,             0.93397,             0.88976,             0.95534,             0.74544,             0.02618,            0.019188,            0.002093,            0.002476,            0.002476,            0.002476
                  78,            0.031245,             0.03724,           0.0047095,             0.94119,             0.88758,             0.95337,             0.74533,            0.026168,            0.019119,           0.0020663,            0.002377,            0.002377,            0.002377
                  79,            0.032655,            0.038016,           0.0049317,             0.94503,             0.88638,             0.95316,             0.74253,            0.025998,            0.019078,            0.002055,            0.002278,            0.002278,            0.002278
                  80,            0.029626,            0.032036,           0.0048956,             0.93729,             0.88803,             0.95162,             0.74288,            0.026058,            0.019029,           0.0020539,            0.002179,            0.002179,            0.002179
                  81,            0.031963,            0.039939,           0.0047615,             0.88616,             0.93356,             0.95367,             0.74187,            0.025676,            0.018871,           0.0020356,             0.00208,             0.00208,             0.00208
                  82,            0.033411,            0.034272,           0.0054284,             0.88611,             0.92852,             0.95473,             0.74518,            0.025942,            0.018886,           0.0020127,            0.001981,            0.001981,            0.001981
                  83,            0.029627,            0.037354,           0.0045259,             0.89301,             0.92702,             0.95639,             0.75478,            0.025456,            0.018781,           0.0019938,            0.001882,            0.001882,            0.001882
                  84,            0.031251,            0.036265,           0.0047276,             0.89934,             0.92992,             0.95772,             0.75613,             0.02505,            0.018753,           0.0019937,            0.001783,            0.001783,            0.001783
                  85,             0.02779,             0.03227,           0.0049208,             0.90505,             0.92309,             0.95583,             0.75877,            0.024945,            0.018759,           0.0019698,            0.001684,            0.001684,            0.001684
                  86,            0.031815,            0.037288,           0.0051129,             0.91606,             0.91657,             0.95554,             0.76516,            0.025093,            0.018752,           0.0019544,            0.001585,            0.001585,            0.001585
                  87,            0.029234,            0.034004,           0.0045588,             0.91096,             0.91194,             0.95313,             0.75891,             0.02517,            0.018699,           0.0019482,            0.001486,            0.001486,            0.001486
                  88,            0.028793,            0.033361,           0.0044941,             0.90553,             0.92366,             0.95518,             0.76451,            0.024904,            0.018627,           0.0019373,            0.001387,            0.001387,            0.001387
                  89,            0.029572,            0.034165,           0.0047781,             0.89423,             0.92114,             0.95159,             0.75738,            0.024783,            0.018566,           0.0019287,            0.001288,            0.001288,            0.001288
                  90,            0.029664,            0.035297,           0.0052086,             0.89108,             0.91957,             0.95092,             0.76508,            0.024491,            0.018432,           0.0019109,            0.001189,            0.001189,            0.001189
                  91,            0.030178,            0.036987,           0.0045552,             0.88957,             0.91981,             0.95099,             0.76826,            0.024354,            0.018358,           0.0018923,             0.00109,             0.00109,             0.00109
                  92,             0.02888,            0.035998,           0.0044076,             0.89232,             0.90569,             0.95075,              0.7688,            0.024232,            0.018261,            0.001869,            0.000991,            0.000991,            0.000991
                  93,            0.029452,            0.038811,           0.0041092,             0.92395,             0.89179,             0.95105,             0.76549,            0.024153,            0.018199,           0.0018575,            0.000892,            0.000892,            0.000892
                  94,            0.029902,            0.037395,           0.0051656,             0.93071,             0.89412,             0.95381,              0.7685,            0.024037,            0.018132,           0.0018469,            0.000793,            0.000793,            0.000793
                  95,            0.027344,            0.034065,           0.0041328,             0.93347,             0.89688,             0.95722,              0.7716,            0.023805,            0.018018,           0.0018342,            0.000694,            0.000694,            0.000694
                  96,            0.028275,            0.034421,           0.0044112,              0.9301,             0.89875,             0.95707,             0.77561,            0.023738,            0.017923,           0.0018291,            0.000595,            0.000595,            0.000595
                  97,            0.030118,             0.03823,           0.0047062,             0.92991,             0.89946,             0.95748,             0.77705,            0.023803,            0.017889,           0.0018272,            0.000496,            0.000496,            0.000496
                  98,            0.027879,            0.035922,           0.0048184,             0.93097,             0.89899,             0.95711,              0.7762,            0.023629,            0.017808,           0.0018208,            0.000397,            0.000397,            0.000397
                  99,            0.030239,            0.038424,           0.0045481,             0.93231,             0.89737,             0.95743,             0.78071,            0.023535,            0.017765,           0.0018153,            0.000298,            0.000298,            0.000298
